op_number,file,line,model,operation,verdict,evidence_function_name,evidence_org_check_line,notes
129,server/src/services/advanced/federatedSwarmService.ts,136,auditLog,create,ORG_IN_WHERE_OR_DATA,async leaveFederation(,server/src/services/advanced/federatedSwarmService.ts:132,organizationId in prisma where/data
130,server/src/services/advanced/federatedSwarmService.ts,197,auditLog,create,ORG_IN_WHERE_OR_DATA,async contributeToFederation(,server/src/services/advanced/federatedSwarmService.ts:207,organizationId in prisma where/data
131,server/src/services/advanced/federatedSwarmService.ts,379,auditLog,create,ORG_IN_WHERE_OR_DATA,async recoverFederation(,server/src/services/advanced/federatedSwarmService.ts:366,organizationId in prisma where/data
132,server/src/services/advanced/federatedSwarmService.ts,702,auditLog,create,ORG_IN_WHERE_OR_DATA,async receiveFederatedModel(,server/src/services/advanced/federatedSwarmService.ts:694,organizationId in prisma where/data
133,server/src/services/advanced/federatedSwarmService.ts,754,auditLog,create,ORG_IN_WHERE_OR_DATA,async getFederatedModel(,server/src/services/advanced/federatedSwarmService.ts:748,organizationId in prisma where/data
134,server/src/services/advanced/federatedSwarmService.ts,790,auditLog,create,ORG_IN_WHERE_OR_DATA,async getFederatedModel(,server/src/services/advanced/federatedSwarmService.ts:802,organizationId in prisma where/data
135,server/src/services/advanced/federatedSwarmService.ts,1080,auditLog,create,ORG_IN_WHERE_OR_DATA,async participateInSwarm(,server/src/services/advanced/federatedSwarmService.ts:1091,organizationId in prisma where/data
136,server/src/services/advanced/federatedSwarmService.ts,1098,swarmInsight,create,ORG_IN_WHERE_OR_DATA,async participateInSwarm(,server/src/services/advanced/federatedSwarmService.ts:1091,organizationId in prisma where/data
137,server/src/services/advanced/federatedSwarmService.ts,1667,auditLog,create,ORG_IN_WHERE_OR_DATA,private async trackConvergenceHistory(,server/src/services/advanced/federatedSwarmService.ts:1677,organizationId in prisma where/data
138,server/src/services/advanced/federatedSwarmService.ts,1884,auditLog,create,ORG_IN_WHERE_OR_DATA,async rollbackModel(,server/src/services/advanced/federatedSwarmService.ts:1895,organizationId in prisma where/data
139,server/src/services/advanced/federatedSwarmService.ts,1927,auditLog,create,ORG_IN_WHERE_OR_DATA,async distributeModel(,server/src/services/advanced/federatedSwarmService.ts:1914,organizationId in prisma where/data
140,server/src/services/advanced/federatedSwarmService.ts,2220,federatedSwarmAggregation,create,ORG_IN_WHERE_OR_DATA,private async aggregatePeerContributions(,server/src/services/advanced/federatedSwarmService.ts:2207,organizationId in prisma where/data
141,server/src/services/advanced/federatedSwarmService.ts,2230,federatedSwarmAggregation,create,ORG_IN_WHERE_OR_DATA,private async aggregatePeerContributions(,server/src/services/advanced/federatedSwarmService.ts:2222,organizationId in prisma where/data
142,server/src/services/advanced/federatedSwarmService.ts,2571,auditLog,create,NON_PRISMA_FALSE_POSITIVE,async secureAggregateModels(,server/src/services/advanced/federatedSwarmService.ts:2571,non-prisma: const modelHash = crypto.createHash('sha256').update(JSON.stringify(aggregatedWeights)).digest('hex'
143,server/src/services/advanced/federatedSwarmService.ts,2576,auditLog,create,ORG_IN_WHERE_OR_DATA,async secureAggregateModels(,server/src/services/advanced/federatedSwarmService.ts:2305,organizationId referenced before write in function
144,server/src/services/advanced/federatedSwarmService.ts,2706,sCAFFOLDControlVariate,create,ORG_IN_WHERE_OR_DATA,private async aggregateScaffoldStrategy(input: {,server/src/services/advanced/federatedSwarmService.ts:2708,organizationId in prisma where/data
145,server/src/services/advanced/federatedSwarmService.ts,2718,sCAFFOLDControlVariate,upsert,ORG_IN_WHERE_OR_DATA,private async aggregateScaffoldStrategy(input: {,server/src/services/advanced/federatedSwarmService.ts:2708,organizationId in prisma where/data
146,server/src/services/advanced/federatedSwarmService.ts,2815,auditLog,create,ORG_IN_WHERE_OR_DATA,async registerPeerUpdate(,server/src/services/advanced/federatedSwarmService.ts:2818,organizationId in prisma where/data
147,server/src/services/advanced/homomorphicAIService.ts,1017,auditLog,create,ORG_IN_WHERE_OR_DATA,private async storeInferenceMetadata(,server/src/services/advanced/homomorphicAIService.ts:1012,organizationId in prisma where/data
148,server/src/services/advanced/homomorphicAIService.ts,1164,auditLog,create,ORG_IN_WHERE_OR_DATA,async performEncryptedNeuralInference(,server/src/services/advanced/homomorphicAIService.ts:1040,organizationId referenced before write in function
149,server/src/services/advanced/homomorphicAIService.ts,1168,auditLog,create,NON_PRISMA_FALSE_POSITIVE,async performEncryptedNeuralInference(,server/src/services/advanced/homomorphicAIService.ts:1168,non-prisma: hash: crypto.createHash('sha256').update(JSON.stringify({
150,server/src/services/advanced/jitAccessService.ts,244,auditLog,create,ORG_IN_WHERE_OR_DATA,async denyAccess(,server/src/services/advanced/jitAccessService.ts:248,organizationId in prisma where/data
151,server/src/services/advanced/jitAccessService.ts,367,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async revokeSession(,server/src/services/advanced/jitAccessService.ts:367,non-prisma: this.activeSessions.delete(sessionId);
152,server/src/services/advanced/jitAccessService.ts,395,auditLog,create,ORG_IN_WHERE_OR_DATA,async logSessionAction(,server/src/services/advanced/jitAccessService.ts:399,organizationId in prisma where/data
153,server/src/services/advanced/jitAccessService.ts,941,user,update,ORG_IN_WHERE_OR_DATA,private async grantTemporaryPrivilege(,server/src/services/advanced/jitAccessService.ts:993,organizationId present in function (1 refs)
154,server/src/services/advanced/jitAccessService.ts,967,user,update,ORG_IN_WHERE_OR_DATA,private async revokeTemporaryPrivilege(,server/src/services/advanced/jitAccessService.ts:993,organizationId present in function (1 refs)
155,server/src/services/advanced/jitAccessService.ts,989,auditLog,create,ORG_IN_WHERE_OR_DATA,private async storeAccessRequest(request: JITAccessRequest): Promise<void> {,server/src/services/advanced/jitAccessService.ts:993,organizationId in prisma where/data
156,server/src/services/advanced/jitAccessService.ts,1099,auditLog,create,ORG_IN_WHERE_OR_DATA,private async updateAccessRequest(request: JITAccessRequest): Promise<void> {,server/src/services/advanced/jitAccessService.ts:1103,organizationId in prisma where/data
157,server/src/services/advanced/jitAccessService.ts,1164,auditLog,create,ORG_IN_WHERE_OR_DATA,private async storeSession(session: JITSession): Promise<void> {,server/src/services/advanced/jitAccessService.ts:1168,organizationId in prisma where/data
158,server/src/services/advanced/jitAccessService.ts,1188,auditLog,create,ORG_IN_WHERE_OR_DATA,private async updateSession(session: JITSession): Promise<void> {,server/src/services/advanced/jitAccessService.ts:1192,organizationId in prisma where/data
159,server/src/services/advanced/ldapPermissionService.ts,598,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,"private sendAndWait(msgId: number, data: Buffer): Promise<BERElement> {",server/src/services/advanced/ldapPermissionService.ts:598,non-prisma: this.pendingResponses.delete(msgId);
160,server/src/services/advanced/ldapPermissionService.ts,616,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,"private sendAndWaitMulti(msgId: number, data: Buffer): Promise<Array<{ dn: strin",server/src/services/advanced/ldapPermissionService.ts:616,non-prisma: this.pendingResponses.delete(msgId);
161,server/src/services/advanced/ldapPermissionService.ts,659,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private handleMessage(element: BERElement): void {,server/src/services/advanced/ldapPermissionService.ts:659,non-prisma: this.pendingResponses.delete(msgId);
162,server/src/services/advanced/ldapPermissionService.ts,689,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private handleMessage(element: BERElement): void {,server/src/services/advanced/ldapPermissionService.ts:689,non-prisma: this.pendingResponses.delete(msgId);
163,server/src/services/advanced/ldapPermissionService.ts,694,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private handleMessage(element: BERElement): void {,server/src/services/advanced/ldapPermissionService.ts:694,non-prisma: this.pendingResponses.delete(msgId);
164,server/src/services/advanced/ldapPermissionService.ts,1061,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,"async resolveNestedGroups(userDN: string, maxDepth: number = 10): Promise<string",server/src/services/advanced/ldapPermissionService.ts:1061,non-prisma: this.roleMappings.delete(adGroupDN);
165,server/src/services/advanced/ldapPermissionService.ts,1483,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private startCacheCleanup(): void {,server/src/services/advanced/ldapPermissionService.ts:1483,non-prisma: if (now - entry.timestamp > this.CACHE_TTL_MS) this.permissionCache.delete(key);
166,server/src/services/advanced/ldapPermissionService.ts,1486,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private startCacheCleanup(): void {,server/src/services/advanced/ldapPermissionService.ts:1486,non-prisma: if (now - entry.timestamp > this.CACHE_TTL_MS) this.userCache.delete(key);
167,server/src/services/advanced/livenessDetectionService.ts,308,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async verifyChallengeResponse(,server/src/services/advanced/livenessDetectionService.ts:308,non-prisma: this.activeChallenges.delete(challengeId);
168,server/src/services/advanced/livenessDetectionService.ts,347,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async verifyChallengeResponse(,server/src/services/advanced/livenessDetectionService.ts:347,non-prisma: this.activeChallenges.delete(challengeId);
169,server/src/services/advanced/livenessDetectionService.ts,1128,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private startChallengeCleanup(): void {,server/src/services/advanced/livenessDetectionService.ts:1128,non-prisma: if (now > challenge.expiresAt) this.activeChallenges.delete(id);
170,server/src/services/advanced/mlModelsService.ts,1033,auditLog,create,ORG_IN_WHERE_OR_DATA,async trainClassificationModel(,server/src/services/advanced/mlModelsService.ts:940,organizationId referenced before write in function
171,server/src/services/advanced/mlModelsService.ts,1137,auditLog,create,ORG_IN_WHERE_OR_DATA,async trainRegressionModel(,server/src/services/advanced/mlModelsService.ts:1140,organizationId in prisma where/data
172,server/src/services/advanced/mqttService.ts,173,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private setupDefaultSubscriptions(): void {,server/src/services/advanced/mqttService.ts:173,non-prisma: this.subscriptions.delete(topic);
173,server/src/services/advanced/mqttService.ts,281,ioTDevice,update,ORG_IN_WHERE_OR_DATA,private async handleDeviceData(message: DeviceMessage): Promise<void> {,server/src/services/advanced/mqttService.ts:293,organizationId present in function (1 refs)
174,server/src/services/advanced/mqttService.ts,317,ioTDevice,update,ORG_IN_WHERE_OR_DATA,private async handleDeviceStatus(message: DeviceMessage): Promise<void> {,server/src/services/advanced/mqttService.ts:350,organizationId present in function (1 refs)
175,server/src/services/advanced/mqttService.ts,347,edgeComplianceCheck,create,ORG_IN_WHERE_OR_DATA,private async handleComplianceCheck(message: DeviceMessage): Promise<void> {,server/src/services/advanced/mqttService.ts:350,organizationId in prisma where/data
176,server/src/services/advanced/multimodalIntakeService.ts,498,transcriptionResult,create,ORG_IN_WHERE_OR_DATA,private async storeTranscriptionResult(,server/src/services/advanced/multimodalIntakeService.ts:492,organizationId in prisma where/data
177,server/src/services/advanced/neuroSymbolicAIService.ts,1355,auditLog,create,ORG_IN_WHERE_OR_DATA,private async storeCausalGraph(,server/src/services/advanced/neuroSymbolicAIService.ts:1352,organizationId in prisma where/data
178,server/src/services/advanced/neuroSymbolicAIService.ts,1378,neuroSymbolicReasoning,create,ORG_IN_WHERE_OR_DATA,private async storeReasoningResult(reasoning: NeuralSymbolicReasoning): Promise<,server/src/services/advanced/neuroSymbolicAIService.ts:1381,organizationId in prisma where/data
179,server/src/services/advanced/neuroSymbolicAIService.ts,1406,ruleInference,create,ORG_IN_WHERE_OR_DATA,private async storeRuleInferences(inferences: RuleInference[]): Promise<void> {,server/src/services/advanced/neuroSymbolicAIService.ts:1410,organizationId in prisma where/data
180,server/src/services/advanced/neuroSymbolicAIService.ts,1499,ruleInference,update,ORG_IN_WHERE_OR_DATA,async validateInferredRule(,server/src/services/advanced/neuroSymbolicAIService.ts:1493,organizationId in prisma where/data
181,server/src/services/advanced/neuroSymbolicAIService.ts,1835,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private async getOrBuildKnowledgeGraph(organizationId: string): Promise<Knowledg,server/src/services/advanced/neuroSymbolicAIService.ts:1835,non-prisma: this._knowledgeGraphCache?.delete(cacheKey);
182,server/src/services/advanced/physicalAIService.ts,209,ioTDevice,create,ORG_IN_WHERE_OR_DATA,async registerDevice(,server/src/services/advanced/physicalAIService.ts:212,organizationId in prisma where/data
183,server/src/services/advanced/physicalAIService.ts,256,ioTDevice,update,ORG_IN_PRIOR_findFirst,async registerDevice(,server/src/services/advanced/physicalAIService.ts:175,prior findFirst/findUnique with organizationId
184,server/src/services/advanced/physicalAIService.ts,262,ioTDevice,update,ORG_IN_PRIOR_findFirst,async registerDevice(,server/src/services/advanced/physicalAIService.ts:175,prior findFirst/findUnique with organizationId
185,server/src/services/advanced/physicalAIService.ts,414,ioTDevice,delete,ORG_IN_WHERE_OR_DATA,async deregisterDevice(,server/src/services/advanced/physicalAIService.ts:428,organizationId in prisma where/data
186,server/src/services/advanced/physicalAIService.ts,419,ioTDevice,delete,ORG_IN_WHERE_OR_DATA,async deregisterDevice(,server/src/services/advanced/physicalAIService.ts:428,organizationId in prisma where/data
187,server/src/services/advanced/physicalAIService.ts,453,ioTDevice,updateMany,ORG_IN_WHERE_OR_DATA,private async handleDeviceMessage(,server/src/services/advanced/physicalAIService.ts:445,organizationId in prisma where/data
188,server/src/services/advanced/physicalAIService.ts,502,auditLog,create,ORG_IN_WHERE_OR_DATA,private async updateBatteryTracking(,server/src/services/advanced/physicalAIService.ts:496,organizationId in prisma where/data
189,server/src/services/advanced/physicalAIService.ts,538,auditLog,create,ORG_IN_WHERE_OR_DATA,private async updateConnectionQualityTracking(,server/src/services/advanced/physicalAIService.ts:532,organizationId in prisma where/data
190,server/src/services/advanced/physicalAIService.ts,629,edgeComplianceCheck,create,ORG_IN_WHERE_OR_DATA,async performEdgeComplianceCheck(,server/src/services/advanced/physicalAIService.ts:632,organizationId in prisma where/data
191,server/src/services/advanced/physicalAIService.ts,643,ioTDevice,update,ORG_IN_WHERE_OR_DATA,async performEdgeComplianceCheck(,server/src/services/advanced/physicalAIService.ts:632,organizationId in prisma where/data
192,server/src/services/advanced/physicalAIService.ts,1157,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async receiveSensorData(,server/src/services/advanced/physicalAIService.ts:1157,non-prisma: const attestationHash = crypto.createHash('sha256').update(dataString).digest('hex');
193,server/src/services/advanced/physicalAIService.ts,1166,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async receiveSensorData(,server/src/services/advanced/physicalAIService.ts:1166,non-prisma: .update(attestationHash)
194,server/src/services/advanced/physicalAIService.ts,1179,ioTDevice,updateMany,ORG_IN_WHERE_OR_DATA,async receiveSensorData(,server/src/services/advanced/physicalAIService.ts:1182,organizationId in prisma where/data
195,server/src/services/advanced/physicalAIService.ts,1191,auditLog,create,ORG_IN_WHERE_OR_DATA,async receiveSensorData(,server/src/services/advanced/physicalAIService.ts:1182,organizationId in prisma where/data
196,server/src/services/advanced/physicalAIService.ts,1333,auditLog,create,ORG_IN_WHERE_OR_DATA,private async detectAnomalies(,server/src/services/advanced/physicalAIService.ts:1220,organizationId referenced before write in function
197,server/src/services/advanced/physicalAIService.ts,1647,auditLog,create,ORG_IN_WHERE_OR_DATA,private async alertOnDeviceFailure(,server/src/services/advanced/physicalAIService.ts:1643,organizationId in prisma where/data
198,server/src/services/advanced/physicalAIService.ts,2968,auditLog,create,ORG_IN_PRIOR_findFirst,async validateFirmware(,server/src/services/advanced/physicalAIService.ts:2851,prior findFirst/findUnique with organizationId
199,server/src/services/advanced/redTeamService.ts,247,auditLog,create,ORG_IN_WHERE_OR_DATA,async runRedTeamSimulation(,server/src/services/advanced/redTeamService.ts:62,organizationId referenced before write in function
200,server/src/services/advanced/redTeamService.ts,299,auditLog,create,ORG_IN_WHERE_OR_DATA,async runRedTeamSimulation(,server/src/services/advanced/redTeamService.ts:62,organizationId referenced before write in function
201,server/src/services/advanced/redTeamService.ts,1059,auditLog,create,ORG_IN_WHERE_OR_DATA,async runAutomatedScan(,server/src/services/advanced/redTeamService.ts:1047,organizationId in prisma where/data
202,server/src/services/advanced/redTeamService.ts,1373,auditLog,create,ORG_IN_WHERE_OR_DATA,async scheduleScan(,server/src/services/advanced/redTeamService.ts:1360,organizationId in prisma where/data
203,server/src/services/advanced/redTeamService.ts,1632,auditLog,create,ORG_IN_WHERE_OR_DATA,async markFalsePositive(,server/src/services/advanced/redTeamService.ts:1617,organizationId in prisma where/data
204,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,188,regulatoryChange,create,ORG_IN_WHERE_OR_DATA,async ingestRegulation(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:89,organizationId referenced before write in function
205,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,220,auditLog,create,ORG_IN_WHERE_OR_DATA,async ingestRegulation(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:89,organizationId referenced before write in function
206,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,243,auditLog,create,ORG_IN_WHERE_OR_DATA,async ingestRegulation(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:89,organizationId referenced before write in function
207,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,305,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private async detectDuplicate(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:305,non-prisma: const hash = crypto.createHash('sha256').update(regulationText).digest('hex');
208,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,314,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private async detectDuplicate(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:314,non-prisma: const existingHash = crypto.createHash('sha256').update(change.regulationText).digest('hex');
209,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,1152,regulatoryChange,create,ORG_IN_WHERE_OR_DATA,async detectConflicts(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:995,organizationId referenced before write in function
210,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,1176,auditLog,create,ORG_IN_WHERE_OR_DATA,async detectConflicts(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:995,organizationId referenced before write in function
211,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,1322,auditLog,create,ORG_IN_WHERE_OR_DATA,private async notifyConflictStakeholders(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:1331,organizationId in prisma where/data
212,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,1448,auditLog,create,ORG_IN_WHERE_OR_DATA,async resolveConflict(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:1441,organizationId in prisma where/data
213,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,1620,frameworkControl,update,ORG_IN_PRIOR_findFirst,async autoUpdateControls(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:1543,prior findFirst/findUnique with organizationId
214,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,1642,frameworkControl,create,ORG_IN_PRIOR_findFirst,async autoUpdateControls(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:1543,prior findFirst/findUnique with organizationId
215,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,1664,regulatoryChange,update,ORG_IN_PRIOR_findFirst,async autoUpdateControls(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:1543,prior findFirst/findUnique with organizationId
216,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,1673,regulatoryChange,update,ORG_IN_PRIOR_findFirst,async autoUpdateControls(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:1543,prior findFirst/findUnique with organizationId
217,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,1718,auditLog,create,ORG_IN_PRIOR_findFirst,async autoUpdateControls(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:1543,prior findFirst/findUnique with organizationId
218,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,1820,auditLog,create,ORG_IN_WHERE_OR_DATA,private async createCheckpoint(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:1825,organizationId in prisma where/data
219,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,1923,auditLog,create,ORG_IN_WHERE_OR_DATA,private async queueForApproval(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:1913,organizationId in prisma where/data
220,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2016,auditLog,create,ORG_IN_WHERE_OR_DATA,async approveAutoUpdate(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2010,organizationId in prisma where/data
221,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2073,frameworkControl,update,ORG_IN_PRIOR_findFirst,async rollbackAutoUpdate(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2055,prior findFirst/findUnique with organizationId
222,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2089,auditLog,create,ORG_IN_WHERE_OR_DATA,async rollbackAutoUpdate(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2099,organizationId in prisma where/data
223,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2232,auditLog,create,ORG_IN_WHERE_OR_DATA,private async notifyAutoUpdateStakeholders(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2241,organizationId in prisma where/data
224,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2331,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async monitorRegulatoryFeeds(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2331,non-prisma: const itemHash = crypto.createHash('sha256').update(item.url || item.title || '').digest('hex');
225,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2360,auditLog,create,ORG_IN_WHERE_OR_DATA,async monitorRegulatoryFeeds(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2254,organizationId referenced before write in function
226,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2608,regulatoryFeed,updateMany,NON_PRISMA_FALSE_POSITIVE,private async monitorWebsiteChanges(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2608,non-prisma: const contentHash = crypto.createHash('sha256').update(response.data).digest('hex');
227,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2618,regulatoryFeed,updateMany,ORG_IN_WHERE_OR_DATA,private async monitorWebsiteChanges(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2619,organizationId in prisma where/data
228,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2718,regulatoryFeed,updateMany,ORG_IN_WHERE_OR_DATA,private async updateFeedStatus(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2712,organizationId in prisma where/data
229,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2733,auditLog,create,ORG_IN_WHERE_OR_DATA,private async updateFeedStatus(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2721,organizationId in prisma where/data
230,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2772,regulatoryFeed,create,ORG_IN_WHERE_OR_DATA,async addFeed(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2774,organizationId in prisma where/data
231,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2797,auditLog,create,ORG_IN_WHERE_OR_DATA,async addFeed(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2792,organizationId in prisma where/data
232,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2826,regulatoryFeed,deleteMany,ORG_IN_WHERE_OR_DATA,async removeFeed(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2821,organizationId in prisma where/data
233,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2834,regulatoryFeed,deleteMany,ORG_IN_WHERE_OR_DATA,async removeFeed(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2821,organizationId in prisma where/data
234,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2894,regulatoryFeed,updateMany,ORG_IN_WHERE_OR_DATA,async updateFeed(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2882,organizationId in prisma where/data
235,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2918,auditLog,create,ORG_IN_WHERE_OR_DATA,async updateFeed(,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2910,organizationId in prisma where/data
236,server/src/services/advanced/swarmTaskAllocationService.ts,328,auditLog,create,ORG_IN_WHERE_OR_DATA,async registerAgent(,server/src/services/advanced/swarmTaskAllocationService.ts:338,organizationId in prisma where/data
237,server/src/services/advanced/swarmTaskAllocationService.ts,383,auditLog,create,ORG_IN_WHERE_OR_DATA,async updateAgentStatus(,server/src/services/advanced/swarmTaskAllocationService.ts:392,organizationId in prisma where/data
238,server/src/services/advanced/swarmTaskAllocationService.ts,416,auditLog,create,ORG_IN_WHERE_OR_DATA,async deactivateAgent(,server/src/services/advanced/swarmTaskAllocationService.ts:411,organizationId in prisma where/data
239,server/src/services/advanced/swarmTaskAllocationService.ts,450,auditLog,create,ORG_IN_WHERE_OR_DATA,async reactivateAgent(,server/src/services/advanced/swarmTaskAllocationService.ts:438,organizationId in prisma where/data
240,server/src/services/advanced/swarmTaskAllocationService.ts,575,auditLog,create,ORG_IN_WHERE_OR_DATA,async submitTask(,server/src/services/advanced/swarmTaskAllocationService.ts:503,organizationId referenced before write in function
241,server/src/services/advanced/swarmTaskAllocationService.ts,1067,auditLog,create,ORG_IN_WHERE_OR_DATA,async reportProgress(,server/src/services/advanced/swarmTaskAllocationService.ts:1077,organizationId in prisma where/data
242,server/src/services/advanced/swarmTaskAllocationService.ts,1174,auditLog,create,NON_PRISMA_FALSE_POSITIVE,async completeTask(,server/src/services/advanced/swarmTaskAllocationService.ts:1174,non-prisma: this.activeTasks.delete(taskId);
243,server/src/services/advanced/swarmTaskAllocationService.ts,1181,auditLog,create,ORG_IN_WHERE_OR_DATA,async completeTask(,server/src/services/advanced/swarmTaskAllocationService.ts:1110,organizationId referenced before write in function
244,server/src/services/advanced/swarmTaskAllocationService.ts,1224,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,"async cancelTask(taskId: string, reason: string, userId: string): Promise<SwarmT",server/src/services/advanced/swarmTaskAllocationService.ts:1224,non-prisma: this.activeTasks.delete(taskId);
245,server/src/services/advanced/swarmTaskAllocationService.ts,1245,auditLog,create,ORG_IN_WHERE_OR_DATA,"async cancelTask(taskId: string, reason: string, userId: string): Promise<SwarmT",server/src/services/advanced/swarmTaskAllocationService.ts:1253,organizationId in prisma where/data
246,server/src/services/advanced/swarmTaskAllocationService.ts,1527,auditLog,create,ORG_IN_WHERE_OR_DATA,async resolveMetricAlert(,server/src/services/advanced/swarmTaskAllocationService.ts:1517,organizationId in prisma where/data
247,server/src/services/advanced/swarmTaskAllocationService.ts,1655,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private async reassignTasksFromAgent(agentId: string): Promise<void> {,server/src/services/advanced/swarmTaskAllocationService.ts:1655,non-prisma: this.activeTasks.delete(taskId);
248,server/src/services/advanced/swarmTaskAllocationService.ts,1667,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private async reassignTasksFromAgent(agentId: string): Promise<void> {,server/src/services/advanced/swarmTaskAllocationService.ts:1667,non-prisma: this.activeTasks.delete(taskId);
249,server/src/services/advanced/swarmTaskAllocationService.ts,1753,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,"private async handleTaskTimeout(taskId: string, timeoutType: string): Promise<vo",server/src/services/advanced/swarmTaskAllocationService.ts:1753,non-prisma: this.activeTasks.delete(taskId);
250,server/src/services/advanced/swarmTaskAllocationService.ts,1774,auditLog,create,NON_PRISMA_FALSE_POSITIVE,"private async handleTaskTimeout(taskId: string, timeoutType: string): Promise<vo",server/src/services/advanced/swarmTaskAllocationService.ts:1774,non-prisma: this.activeTasks.delete(taskId);
251,server/src/services/advanced/swarmTaskAllocationService.ts,1777,auditLog,create,ORG_IN_WHERE_OR_DATA,"private async handleTaskTimeout(taskId: string, timeoutType: string): Promise<vo",server/src/services/advanced/swarmTaskAllocationService.ts:1786,organizationId in prisma where/data
