site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session
134,./server/src/controllers/acosController.ts,1761,      logger.error('Join VR session error'; error);,SAFE_LOG,N/A,      logger.error('Join VR session error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
135,./server/src/controllers/acosController.ts,1789,      logger.error('Start VR session error'; error);,SAFE_LOG,N/A,      logger.error('Start VR session error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
136,./server/src/controllers/acosController.ts,1804,      logger.error('End VR session error'; error);,SAFE_LOG,N/A,      logger.error('End VR session error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
137,./server/src/controllers/acosController.ts,1819,      logger.error('Leave VR session error'; error);,SAFE_LOG,N/A,      logger.error('Leave VR session error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
138,./server/src/controllers/acosController.ts,1834,      logger.error('Get VR session details error'; error);,SAFE_LOG,N/A,      logger.error('Get VR session details error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
139,./server/src/controllers/acosController.ts,1850,      logger.error('Add VR annotation error'; error);,SAFE_LOG,N/A,      logger.error('Add VR annotation error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
140,./server/src/controllers/acosController.ts,1866,      logger.error('Add VR voice annotation error'; error);,SAFE_LOG,N/A,      logger.error('Add VR voice annotation error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
141,./server/src/controllers/acosController.ts,1883,      logger.error('Edit VR annotation error'; error);,SAFE_LOG,N/A,      logger.error('Edit VR annotation error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
142,./server/src/controllers/acosController.ts,1900,      logger.error('Delete VR annotation error'; error);,SAFE_LOG,N/A,      logger.error('Delete VR annotation error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
143,./server/src/controllers/acosController.ts,1915,      logger.error('Get VR annotation history error'; error);,SAFE_LOG,N/A,      logger.error('Get VR annotation history error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
144,./server/src/controllers/acosController.ts,1931,      logger.error('Export VR annotations error'; error);,SAFE_LOG,N/A,      logger.error('Export VR annotations error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
145,./server/src/controllers/acosController.ts,1944,      logger.error('Get active VR sessions error'; error);,SAFE_LOG,N/A,      logger.error('Get active VR sessions error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
146,./server/src/controllers/acosController.ts,1955,      logger.error('VR session health check error'; error);,SAFE_LOG,N/A,      logger.error('VR session health check error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
147,./server/src/controllers/acosController.ts,1970,      logger.error('Create VR training scenario error'; error);,SAFE_LOG,N/A,      logger.error('Create VR training scenario error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
148,./server/src/controllers/acosController.ts,1986,      logger.error('Start VR training error'; error);,SAFE_LOG,N/A,      logger.error('Start VR training error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
149,./server/src/controllers/acosController.ts,2004,      logger.error('Track VR training progress error'; error);,SAFE_LOG,N/A,      logger.error('Track VR training progress error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
150,./server/src/controllers/acosController.ts,2019,      logger.error('Evaluate VR training error'; error);,SAFE_LOG,N/A,      logger.error('Evaluate VR training error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
151,./server/src/controllers/acosController.ts,2034,      logger.error('Complete VR training error'; error);,SAFE_LOG,N/A,      logger.error('Complete VR training error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
152,./server/src/controllers/acosController.ts,2048,      logger.error('Get VR training history error'; error);,SAFE_LOG,N/A,      logger.error('Get VR training history error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
153,./server/src/controllers/acosController.ts,2065,      logger.error('Send VR chat message error'; error);,SAFE_LOG,N/A,      logger.error('Send VR chat message error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
154,./server/src/controllers/acosController.ts,2077,      logger.error('Get VR chat history error'; error);,SAFE_LOG,N/A,      logger.error('Get VR chat history error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
155,./server/src/controllers/acosController.ts,2094,      logger.error('Toggle VR voice chat error'; error);,SAFE_LOG,N/A,      logger.error('Toggle VR voice chat error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
156,./server/src/controllers/acosController.ts,2113,      logger.error('Mute VR participant error'; error);,SAFE_LOG,N/A,      logger.error('Mute VR participant error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
157,./server/src/controllers/acosController.ts,2131,      logger.error('Update VR pointer error'; error);,SAFE_LOG,N/A,      logger.error('Update VR pointer error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
158,./server/src/controllers/acosController.ts,2148,      logger.error('Enable VR screen sharing error'; error);,SAFE_LOG,N/A,      logger.error('Enable VR screen sharing error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
159,./server/src/controllers/acosController.ts,2163,      logger.error('Disable VR screen sharing error'; error);,SAFE_LOG,N/A,      logger.error('Disable VR screen sharing error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
160,./server/src/controllers/acosController.ts,2179,      logger.error('Enable VR follow mode error'; error);,SAFE_LOG,N/A,      logger.error('Enable VR follow mode error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
161,./server/src/controllers/acosController.ts,2195,      logger.error('Disable VR follow mode error'; error);,SAFE_LOG,N/A,      logger.error('Disable VR follow mode error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
162,./server/src/controllers/acosController.ts,2210,      logger.error('Enable VR presenter mode error'; error);,SAFE_LOG,N/A,      logger.error('Enable VR presenter mode error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
163,./server/src/controllers/acosController.ts,2226,      logger.error('Update VR environment error'; error);,SAFE_LOG,N/A,      logger.error('Update VR environment error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
164,./server/src/controllers/acosController.ts,2239,      logger.error('Set VR environment theme error'; error);,SAFE_LOG,N/A,      logger.error('Set VR environment theme error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
165,./server/src/controllers/acosController.ts,2255,      logger.error('Register swarm agent error'; error);,SAFE_LOG,N/A,      logger.error('Register swarm agent error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
166,./server/src/controllers/acosController.ts,2270,      logger.error('Submit swarm task error'; error);,SAFE_LOG,N/A,      logger.error('Submit swarm task error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
167,./server/src/controllers/acosController.ts,2284,      logger.error('Get swarm task status error'; error);,SAFE_LOG,N/A,      logger.error('Get swarm task status error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
168,./server/src/controllers/acosController.ts,2296,      logger.error('Get active swarm tasks error'; error);,SAFE_LOG,N/A,      logger.error('Get active swarm tasks error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
169,./server/src/controllers/acosController.ts,2312,      logger.error('Cancel swarm task error'; error);,SAFE_LOG,N/A,      logger.error('Cancel swarm task error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
170,./server/src/controllers/acosController.ts,2323,      logger.error('Get all swarm tasks error'; error);,SAFE_LOG,N/A,      logger.error('Get all swarm tasks error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
171,./server/src/controllers/acosController.ts,2339,      logger.error('Bulk submit swarm tasks error'; error);,SAFE_LOG,N/A,      logger.error('Bulk submit swarm tasks error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
172,./server/src/controllers/acosController.ts,2351,      logger.error('Report swarm task progress error'; error);,SAFE_LOG,N/A,      logger.error('Report swarm task progress error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
173,./server/src/controllers/acosController.ts,2370,      logger.error('Complete swarm task error'; error);,SAFE_LOG,N/A,      logger.error('Complete swarm task error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
174,./server/src/controllers/acosController.ts,2382,      logger.error('Get swarm metrics error'; error);,SAFE_LOG,N/A,      logger.error('Get swarm metrics error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
175,./server/src/controllers/acosController.ts,2398,      logger.error('Get swarm historical metrics error'; error);,SAFE_LOG,N/A,      logger.error('Get swarm historical metrics error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
176,./server/src/controllers/acosController.ts,2413,      logger.error('Get swarm metric alerts error'; error);,SAFE_LOG,N/A,      logger.error('Get swarm metric alerts error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
177,./server/src/controllers/acosController.ts,2429,      logger.error('Resolve swarm metric alert error'; error);,SAFE_LOG,N/A,      logger.error('Resolve swarm metric alert error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
178,./server/src/controllers/acosController.ts,2446,      logger.error('Export swarm metrics error'; error);,SAFE_LOG,N/A,      logger.error('Export swarm metrics error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
179,./server/src/controllers/acosController.ts,2457,      logger.error('Get swarm dashboard error'; error);,SAFE_LOG,N/A,      logger.error('Get swarm dashboard error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
180,./server/src/controllers/acosController.ts,2467,      logger.error('Get swarm agents error'; error);,SAFE_LOG,N/A,      logger.error('Get swarm agents error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
181,./server/src/controllers/acosController.ts,2481,      logger.error('Get swarm agent by ID error'; error);,SAFE_LOG,N/A,      logger.error('Get swarm agent by ID error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
182,./server/src/controllers/acosController.ts,2498,      logger.error('Update swarm agent status error'; error);,SAFE_LOG,N/A,      logger.error('Update swarm agent status error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
183,./server/src/controllers/acosController.ts,2514,      logger.error('Deactivate swarm agent error'; error);,SAFE_LOG,N/A,      logger.error('Deactivate swarm agent error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
184,./server/src/controllers/acosController.ts,2530,      logger.error('Reactivate swarm agent error'; error);,SAFE_LOG,N/A,      logger.error('Reactivate swarm agent error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
185,./server/src/controllers/acosController.ts,2542,      logger.error('Get swarm agent workload error'; error);,SAFE_LOG,N/A,      logger.error('Get swarm agent workload error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
186,./server/src/controllers/acosController.ts,2555,      logger.error('Get federation status error'; error);,SAFE_LOG,N/A,      logger.error('Get federation status error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
187,./server/src/controllers/acosController.ts,2570,      logger.error('Participate in swarm error'; error);,SAFE_LOG,N/A,      logger.error('Participate in swarm error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
188,./server/src/controllers/acosController.ts,2584,      logger.error('Monitor regulatory feeds error'; error);,SAFE_LOG,N/A,      logger.error('Monitor regulatory feeds error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
189,./server/src/controllers/acosController.ts,2599,      logger.error('Get regulatory changes error'; error);,SAFE_LOG,N/A,      logger.error('Get regulatory changes error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
190,./server/src/controllers/acosController.ts,2611,      logger.error('Get control loops error'; error);,SAFE_LOG,N/A,      logger.error('Get control loops error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
191,./server/src/controllers/acosController.ts,2635,      logger.error('Get compliance debts error'; error);,SAFE_LOG,N/A,      logger.error('Get compliance debts error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
192,./server/src/controllers/acosController.ts,2650,      logger.error('Track compliance debt error'; error);,SAFE_LOG,N/A,      logger.error('Track compliance debt error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
193,./server/src/controllers/acosController.ts,2666,      logger.error('Calculate debt from gap analysis error'; error);,SAFE_LOG,N/A,      logger.error('Calculate debt from gap analysis error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
194,./server/src/controllers/acosController.ts,2682,      logger.error('Resolve compliance debt error'; error);,SAFE_LOG,N/A,      logger.error('Resolve compliance debt error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
195,./server/src/controllers/acosController.ts,2697,      logger.error('Export debt report error'; error);,SAFE_LOG,N/A,      logger.error('Export debt report error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
196,./server/src/controllers/acosController.ts,2711,      logger.error('Get change impacts error'; error);,SAFE_LOG,N/A,      logger.error('Get change impacts error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
197,./server/src/controllers/acosController.ts,2726,      logger.error('Forecast change impact error'; error);,SAFE_LOG,N/A,      logger.error('Forecast change impact error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
198,./server/src/controllers/acosController.ts,2742,      logger.error('Resolve change impact error'; error);,SAFE_LOG,N/A,      logger.error('Resolve change impact error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
199,./server/src/controllers/acosController.ts,2758,      logger.error('Hybrid reasoning error'; error);,SAFE_LOG,N/A,      logger.error('Hybrid reasoning error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
200,./server/src/controllers/acosController.ts,2772,      logger.error('Rule inference error'; error);,SAFE_LOG,N/A,      logger.error('Rule inference error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
201,./server/src/controllers/acosController.ts,2786,      logger.error('Causal reasoning error'; error);,SAFE_LOG,N/A,      logger.error('Causal reasoning error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
202,./server/src/controllers/acosController.ts,2800,      logger.error('Explainable decision error'; error);,SAFE_LOG,N/A,      logger.error('Explainable decision error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
203,./server/src/controllers/acosController.ts,2815,      logger.error('Get reasoning history error'; error);,SAFE_LOG,N/A,      logger.error('Get reasoning history error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
204,./server/src/controllers/acosController.ts,2833,      logger.error('Validate inferred rule error'; error);,SAFE_LOG,N/A,      logger.error('Validate inferred rule error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
205,./server/src/controllers/acosController.ts,2844,      logger.info('JIT Access request received'; {,GAP_MEDIUM,MEDIUM,      logger.info('JIT Access request received'; {,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
206,./server/src/controllers/acosController.ts,2862,      logger.error('Request JIT access error'; {,GAP_HIGH,HIGH,      logger.error('Request JIT access error'; {,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
207,./server/src/controllers/acosController.ts,2878,      logger.error('Get JIT access sessions error'; error);,SAFE_LOG,N/A,      logger.error('Get JIT access sessions error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
208,./server/src/controllers/acosController.ts,2892,      logger.error('Revoke JIT session error'; error);,SAFE_LOG,N/A,      logger.error('Revoke JIT session error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
209,./server/src/controllers/acosController.ts,2905,      logger.error('Cancel JIT access request error'; error);,SAFE_LOG,N/A,      logger.error('Cancel JIT access request error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
210,./server/src/controllers/acosController.ts,2938,      logger.error('Get pending JIT access requests error'; error);,SAFE_LOG,N/A,      logger.error('Get pending JIT access requests error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
211,./server/src/controllers/acosController.ts,2979,      logger.error('Get all JIT access requests error'; error);,SAFE_LOG,N/A,      logger.error('Get all JIT access requests error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
212,./server/src/controllers/acosController.ts,3002,      logger.error('Approve JIT access request error'; error);,SAFE_LOG,N/A,      logger.error('Approve JIT access request error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
213,./server/src/controllers/acosController.ts,3030,      logger.error('Deny JIT access request error'; error);,SAFE_LOG,N/A,      logger.error('Deny JIT access request error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
214,./server/src/controllers/acosController.ts,3051,      logger.info(`Generated ${scheme} homomorphic keys for user ${authReq.user!.id}`);,GAP_MEDIUM,MEDIUM,      logger.info(`Generated ${scheme} homomorphic keys for user ${authReq.user!.id}`);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
215,./server/src/controllers/acosController.ts,3055,      logger.error('Generate homomorphic keys error'; error);,SAFE_LOG,N/A,      logger.error('Generate homomorphic keys error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
216,./server/src/controllers/acosController.ts,3083,      logger.error('Encrypt data error'; error);,SAFE_LOG,N/A,      logger.error('Encrypt data error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
217,./server/src/controllers/acosController.ts,3103,      logger.error('Decrypt data error'; error);,SAFE_LOG,N/A,      logger.error('Decrypt data error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
218,./server/src/controllers/acosController.ts,3132,      logger.error('Encrypted linear regression error'; error);,SAFE_LOG,N/A,      logger.error('Encrypted linear regression error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
219,./server/src/controllers/acosController.ts,3156,      logger.error('Encrypted statistics error'; error);,SAFE_LOG,N/A,      logger.error('Encrypted statistics error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
220,./server/src/controllers/acosController.ts,3185,      logger.error('Encrypted neural network error'; error);,SAFE_LOG,N/A,      logger.error('Encrypted neural network error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
221,./server/src/controllers/aiController.ts,27,      logger.error('Generate report error'; {,GAP_MEDIUM,MEDIUM,      logger.error('Generate report error'; {,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
222,./server/src/controllers/aiController.ts,57,      logger.error('Generate policy error'; {,GAP_MEDIUM,MEDIUM,      logger.error('Generate policy error'; {,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
223,./server/src/controllers/aiController.ts,82,      logger.error('Analyze contract error'; error);,SAFE_LOG,N/A,      logger.error('Analyze contract error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
224,./server/src/controllers/aiController.ts,95,      logger.error('Gap analysis error'; error);,SAFE_LOG,N/A,      logger.error('Gap analysis error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
225,./server/src/controllers/aiController.ts,108,      logger.error('RFP response error'; error);,SAFE_LOG,N/A,      logger.error('RFP response error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
226,./server/src/controllers/aiController.ts,127,      logger.error('Generate phishing error'; error);,SAFE_LOG,N/A,      logger.error('Generate phishing error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
227,./server/src/controllers/aiController.ts,140,      logger.error('Score vendor error'; error);,SAFE_LOG,N/A,      logger.error('Score vendor error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
228,./server/src/controllers/aiController.ts,152,      logger.error('Generate data map error'; error);,SAFE_LOG,N/A,      logger.error('Generate data map error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
229,./server/src/controllers/aiController.ts,170,      logger.error('Generate BCP error'; error);,SAFE_LOG,N/A,      logger.error('Generate BCP error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
230,./server/src/controllers/aiController.ts,198,      logger.error('Chat error'; {,GAP_MEDIUM,MEDIUM,      logger.error('Chat error'; {,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
231,./server/src/controllers/aiController.ts,235,      logger.error('Cross-framework mapping error'; { error: error.message; userId: (req as AuthRequest).user?.id });,GAP_MEDIUM,MEDIUM,      logger.error('Cross-framework mapping error'; { error: error.message; userId: (req as AuthRequest).user?.id });,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
232,./server/src/controllers/aiController.ts,259,      logger.error('Auto-remediation error'; { error: error.message; userId: (req as AuthRequest).user?.id });,GAP_MEDIUM,MEDIUM,      logger.error('Auto-remediation error'; { error: error.message; userId: (req as AuthRequest).user?.id });,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
233,./server/src/controllers/aiController.ts,282,      logger.error('Evidence completeness error'; { error: error.message; userId: (req as AuthRequest).user?.id });,GAP_MEDIUM,MEDIUM,      logger.error('Evidence completeness error'; { error: error.message; userId: (req as AuthRequest).user?.id });,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
234,./server/src/controllers/aiController.ts,305,      logger.error('Agentic vendor risk error'; { error: error.message; userId: (req as AuthRequest).user?.id });,GAP_MEDIUM,MEDIUM,      logger.error('Agentic vendor risk error'; { error: error.message; userId: (req as AuthRequest).user?.id });,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
235,./server/src/controllers/aiController.ts,330,      logger.error('Audit simulation error'; { error: error.message; userId: (req as AuthRequest).user?.id });,GAP_MEDIUM,MEDIUM,      logger.error('Audit simulation error'; { error: error.message; userId: (req as AuthRequest).user?.id });,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
236,./server/src/controllers/aiController.ts,353,      logger.error('NL query error'; { error: error.message; userId: (req as AuthRequest).user?.id });,GAP_MEDIUM,MEDIUM,      logger.error('NL query error'; { error: error.message; userId: (req as AuthRequest).user?.id });,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
237,./server/src/controllers/aiController.ts,377,      logger.error('Copilot error'; { error: error.message; userId: (req as AuthRequest).user?.id });,GAP_MEDIUM,MEDIUM,      logger.error('Copilot error'; { error: error.message; userId: (req as AuthRequest).user?.id });,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
238,./server/src/controllers/aiController.ts,401,      logger.error('Forecasting error'; { error: error.message; userId: (req as AuthRequest).user?.id });,GAP_MEDIUM,MEDIUM,      logger.error('Forecasting error'; { error: error.message; userId: (req as AuthRequest).user?.id });,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
239,./server/src/controllers/aiController.ts,425,      logger.error('Process analysis error'; { error: error.message; userId: (req as AuthRequest).user?.id });,GAP_MEDIUM,MEDIUM,      logger.error('Process analysis error'; { error: error.message; userId: (req as AuthRequest).user?.id });,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
240,./server/src/controllers/aiRmfController.ts,31,      logger.error('Create AI system error:'; error);,SAFE_LOG,N/A,      logger.error('Create AI system error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
241,./server/src/controllers/aiRmfController.ts,52,      logger.error('Get AI systems error:'; error);,SAFE_LOG,N/A,      logger.error('Get AI systems error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
242,./server/src/controllers/aiRmfController.ts,68,      logger.error('Get AI system error:'; error);,SAFE_LOG,N/A,      logger.error('Get AI system error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
243,./server/src/controllers/aiRmfController.ts,92,      logger.error('Update AI system error:'; error);,SAFE_LOG,N/A,      logger.error('Update AI system error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
244,./server/src/controllers/aiRmfController.ts,115,      logger.error('Delete AI system error:'; error);,SAFE_LOG,N/A,      logger.error('Delete AI system error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
245,./server/src/controllers/aiRmfController.ts,144,      logger.error('Update core function error:'; error);,SAFE_LOG,N/A,      logger.error('Update core function error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
246,./server/src/controllers/aiRmfController.ts,172,      logger.error('Update category error:'; error);,SAFE_LOG,N/A,      logger.error('Update category error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
247,./server/src/controllers/aiRmfController.ts,196,      logger.error('Update subcategory error:'; error);,SAFE_LOG,N/A,      logger.error('Update subcategory error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
248,./server/src/controllers/aiRmfController.ts,225,      logger.error('Update trustworthiness characteristic error:'; error);,SAFE_LOG,N/A,      logger.error('Update trustworthiness characteristic error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
249,./server/src/controllers/aiRmfController.ts,254,      logger.error('Update lifecycle stage error:'; error);,SAFE_LOG,N/A,      logger.error('Update lifecycle stage error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
250,./server/src/controllers/aiRmfController.ts,274,      logger.error('Add actor error:'; error);,SAFE_LOG,N/A,      logger.error('Add actor error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
251,./server/src/controllers/aiRmfController.ts,290,      logger.error('Remove actor error:'; error);,SAFE_LOG,N/A,      logger.error('Remove actor error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
252,./server/src/controllers/aiRmfController.ts,318,      logger.error('Create assessment error:'; error);,SAFE_LOG,N/A,      logger.error('Create assessment error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
253,./server/src/controllers/aiRmfController.ts,334,      logger.error('Get assessments error:'; error);,SAFE_LOG,N/A,      logger.error('Get assessments error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
254,./server/src/controllers/aiRmfController.ts,357,      logger.error('Delete assessment error:'; error);,SAFE_LOG,N/A,      logger.error('Delete assessment error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
255,./server/src/controllers/aiRmfController.ts,377,      logger.error('Create profile error:'; error);,SAFE_LOG,N/A,      logger.error('Create profile error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
256,./server/src/controllers/aiRmfController.ts,405,      logger.error('Create risk activity error:'; error);,SAFE_LOG,N/A,      logger.error('Create risk activity error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
257,./server/src/controllers/aiRmfController.ts,429,      logger.error('Update risk activity error:'; error);,SAFE_LOG,N/A,      logger.error('Update risk activity error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
258,./server/src/controllers/aiRmfController.ts,449,      logger.error('Calculate trustworthiness score error:'; error);,SAFE_LOG,N/A,      logger.error('Calculate trustworthiness score error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
259,./server/src/controllers/aiRmfController.ts,464,      logger.error('Get dashboard data error:'; error);,SAFE_LOG,N/A,      logger.error('Get dashboard data error:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
260,./server/src/controllers/auditController.ts,54,      logger.error('List audit logs error'; error);,SAFE_LOG,N/A,      logger.error('List audit logs error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
261,./server/src/controllers/auditController.ts,125,            logger.error('Failed to update audit log with blockchain info'; error);,SAFE_LOG,N/A,            logger.error('Failed to update audit log with blockchain info'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
262,./server/src/controllers/auditController.ts,128,          logger.info(`Audit log ${auditLog.id} submitted to blockchain: ${blockchainRecord.transactionHash}`);,SAFE_LOG,N/A,          logger.info(`Audit log ${auditLog.id} submitted to blockchain: ${blockchainRecord.transactionHash}`);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
263,./server/src/controllers/auditController.ts,131,          logger.warn('Failed to submit audit log to blockchain'; error);,SAFE_LOG,N/A,          logger.warn('Failed to submit audit log to blockchain'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
264,./server/src/controllers/auditController.ts,137,      logger.error('Create audit log error'; error);,SAFE_LOG,N/A,      logger.error('Create audit log error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
